# Cosmological Table
# w0=-1.0, wa=0.0
# H0=72.0, Omega_m=0.26, Omega_l=0.74, Omega_k=0
# Columns: t, tau0, tau1, a
1.0662019709292141e-08,1.0662019880094907e-08,1.066201985306321e-08,0.9999999993379802
1.0683399375006078e-08,1.0683399575138581e-08,1.0683399522615193e-08,0.9999999993166006
1.070482204340589e-08,1.0704822141173448e-08,1.0704822124706767e-08,0.9999999992951779
1.0726287549765298e-08,1.0726287664165234e-08,1.0726287609785681e-08,0.9999999992737124
1.0747796062589439e-08,1.0747796230252107e-08,1.0747796209513144e-08,0.9999999992522038
1.0769347755142103e-08,1.076934792574494e-08,1.0769347868428153e-08,0.9999999992306522
1.079094269808124e-08,1.0790942837127678e-08,1.0790942771897492e-08,0.9999999992090572
1.0812580874168783e-08,1.081258105105771e-08,1.0812581097042986e-08,0.999999999187419
1.0834262446942924e-08,1.083426265436612e-08,1.0834262592705249e-08,0.9999999991657375
1.0855987546657464e-08,1.0855987734058183e-08,1.0855987651846929e-08,0.9999999991440124
1.0877756238235497e-08,1.0877756377313607e-08,1.0877756355592888e-08,0.9999999991222437
1.0899568462965911e-08,1.089956867148692e-08,1.0899568583465768e-08,0.9999999991004315
1.0921424496247504e-08,1.0921424704107836e-08,1.0921424651354974e-08,0.9999999990785754
1.0943324424357508e-08,1.0943324562881517e-08,1.0943324537319438e-08,0.9999999990566755
1.0965268138190717e-08,1.0965268335689065e-08,1.096526821004696e-08,0.9999999990347318
1.0987255936572035e-08,1.0987256110587773e-08,1.0987256139453134e-08,0.999999999012744
1.1009287818520822e-08,1.1009287975811515e-08,1.1009287945125186e-08,0.9999999989907121
1.1031363810441762e-08,1.1031364019771112e-08,1.1031363934825118e-08,0.9999999989686361
1.1053484183243794e-08,1.1053484331054602e-08,1.1053484357742536e-08,0.9999999989465157
1.1075648872389548e-08,1.107564899842773e-08,1.107564896590399e-08,0.9999999989243511
1.1097857967673777e-08,1.1097858110834209e-08,1.1097858065386105e-08,0.999999998902142
1.1120111556766231e-08,1.1120111757396111e-08,1.11201116826162e-08,0.9999999988798883
1.1142409838536943e-08,1.1142410027414233e-08,1.1142410017705397e-08,0.9999999988575901
1.1164752901605295e-08,1.1164753010368375e-08,1.116475302415804e-08,0.999999998835247
1.1187140621950508e-08,1.1187140795917832e-08,1.1187140808006519e-08,0.9999999988128593
1.1209573318480549e-08,1.1209573473901663e-08,1.1209573544870223e-08,0.9999999987904266
1.1232050942079916e-08,1.123205113433907e-08,1.1232051122125572e-08,0.999999998767949
1.1254573684739286e-08,1.125457386742977e-08,1.1254573852759903e-08,0.9999999987454262
1.1277141660695801e-08,1.127714176355437e-08,1.1277141749567421e-08,0.9999999987228583
1.129975476818048e-08,1.1299754913274639e-08,1.1299754935893147e-08,0.9999999987002451
1.1322413173690597e-08,1.1322413407334013e-08,1.1322413388129033e-08,0.9999999986775867
1.1345117161634737e-08,1.1345117336657868e-08,1.1345117261025173e-08,0.9999999986548828
1.1367866622857267e-08,1.13678667923539e-08,1.1367866730321925e-08,0.9999999986321333
1.1390661756496635e-08,1.1390661865712525e-08,1.1390661878414762e-08,0.9999999986093382
1.141350245809115e-08,1.1413502648207142e-08,1.1413502608830667e-08,0.9999999985864975
1.1436389050668496e-08,1.1436389231494648e-08,1.1436389151032336e-08,0.9999999985636109
1.1459321569693423e-08,1.1459321707415706e-08,1.1459321717913665e-08,0.9999999985406783
1.148229999033772e-08,1.148230016799514e-08,1.1482300148252868e-08,0.9999999985176999
1.150532459811397e-08,1.1505324705442328e-08,1.1505324709433368e-08,0.9999999984946754
1.1528395234621602e-08,1.1528395412151478e-08,1.1528395318249276e-08,0.9999999984716047
1.1551512173250979e-08,1.155151238070214e-08,1.1551512286504007e-08,0.9999999984484877
1.1574675508647353e-08,1.157467570385948e-08,1.157467564388894e-08,0.9999999984253244
1.1597885306053828e-08,1.1597885474574682e-08,1.1597885397374127e-08,0.9999999984021146
1.162114154295506e-08,1.1621141785985341e-08,1.1621141690504287e-08,0.9999999983788583
1.1644444598174046e-08,1.1644444731415738e-08,1.1644444708781872e-08,0.9999999983555553
1.166779424200561e-08,1.1667794404377365e-08,1.1667794360737157e-08,0.9999999983322057
1.1691190746685596e-08,1.1691190898569199e-08,1.1691190895614722e-08,0.9999999983088091
1.1714634117382142e-08,1.1714634307878108e-08,1.1714634251972536e-08,0.9999999982853658
1.1738124548407113e-08,1.1738124726379242e-08,1.1738124669329212e-08,0.9999999982618754
1.1761662063627495e-08,1.1761662248336325e-08,1.1761662167317232e-08,0.9999999982383379
1.1785246770344282e-08,1.1785246968202172e-08,1.178524687675722e-08,0.9999999982147532
1.1808878881935695e-08,1.180887898061897e-08,1.1808879017313973e-08,0.9999999981911211
1.1832558284200226e-08,1.1832558380418685e-08,1.1832558430370106e-08,0.9999999981674417
1.1856285043360095e-08,1.1856285262623469e-08,1.1856285169015724e-08,0.9999999981437149
1.1880059562191154e-08,1.1880059722445938e-08,1.1880059682376322e-08,0.9999999981199403
1.1903881597238637e-08,1.1903881855289707e-08,1.1903881768421047e-08,0.9999999980961183
1.1927751530816317e-08,1.1927751756749669e-08,1.1927751658832875e-08,0.9999999980722484
1.1951669273157103e-08,1.1951669522612404e-08,1.1951669426044869e-08,0.9999999980483306
1.197563515925329e-08,1.1975635248856596e-08,1.1975635287450984e-08,0.9999999980243648
1.1999648834147953e-08,1.1999649031653307e-08,1.1999648928326804e-08,0.9999999980003511
1.2023710756531562e-08,1.2023710967366523e-08,1.2023710936203437e-08,0.9999999979762891
1.2047820910366953e-08,1.204782115255343e-08,1.2047821059735342e-08,0.999999997952179
1.2071979536655123e-08,1.2071979683964836e-08,1.2071979639784185e-08,0.9999999979280204
1.2096186507192368e-08,1.2096186658545557e-08,1.2096186626524965e-08,0.9999999979038134
1.2120441940794413e-08,1.2120442173434826e-08,1.212044208561199e-08,0.999999997879558
1.2144746155253833e-08,1.2144746325966588e-08,1.2144746278185695e-08,0.9999999978552537
1.2169099022704521e-08,1.2169099213670041e-08,1.2169099155842432e-08,0.9999999978309009
1.2193500729551955e-08,1.2193500934269925e-08,1.2193500923582398e-08,0.9999999978064992
1.2217951442599687e-08,1.2217951585686935e-08,1.2217951507195378e-08,0.9999999977820485
1.2242451150414418e-08,1.224245126603815e-08,1.2242451315565699e-08,0.9999999977575488
1.22669999497096e-08,1.2267000073637317e-08,1.226700011242815e-08,0.999999997733
1.2291597954604384e-08,1.2291598106995396e-08,1.229159809545349e-08,0.999999997708402
1.2316245319706453e-08,1.2316245464820865e-08,1.2316245473974793e-08,0.9999999976837546
1.234094203128986e-08,1.2340942246020128e-08,1.234094216845766e-08,0.9999999976590579
1.2365688371626649e-08,1.2365688549697947e-08,1.2365688534198801e-08,0.9999999976343116
1.239048432832555e-08,1.2390484475157732e-08,1.2390484477547254e-08,0.9999999976095156
1.2415330017981699e-08,1.2415330121902098e-08,1.241533013444702e-08,0.99999999758467
1.244022540040052e-08,1.2440225589633157e-08,1.2440225537149702e-08,0.9999999975597745
1.2465170768105394e-08,1.2465170978252945e-08,1.246517093501762e-08,0.9999999975348292
1.2490166208671921e-08,1.2490166387863847e-08,1.2490166402148479e-08,0.9999999975098337
1.2515211697281641e-08,1.2515211918768906e-08,1.2515211896086962e-08,0.9999999974847882
1.2540307528165596e-08,1.2540307671472366e-08,1.254030766277053e-08,0.9999999974596924
1.2565453551124915e-08,1.2565453746679978e-08,1.2565453647133535e-08,0.9999999974345464
1.2590650060243702e-08,1.2590650245299432e-08,1.2590650144502541e-08,0.9999999974093499
1.2615897070639714e-08,1.2615897268440786e-08,1.2615897188176651e-08,0.9999999973841028
1.2641194730013831e-08,1.2641194917416767e-08,1.2641194834166113e-08,0.9999999973588052
1.2666543110991986e-08,1.2666543293743337e-08,1.2666543222670758e-08,0.9999999973334568
1.2691942367543948e-08,1.2691942499139989e-08,1.2691942491259352e-08,0.9999999973080576
1.2717392419471648e-08,1.271739263553019e-08,1.271739258064669e-08,0.9999999972826075
1.2742893610687562e-08,1.2742893805041813e-08,1.2742893718643231e-08,0.9999999972571063
1.2768445965952666e-08,1.2768446110007433e-08,1.2768446108108022e-08,0.999999997231554
1.2794049434316861e-08,1.2794049652964917e-08,1.2794049571963355e-08,0.9999999972059505
1.2819704414208187e-08,1.2819704536657702e-08,1.2819704545951021e-08,0.9999999971802955
1.284541069217754e-08,1.284541086403526e-08,1.2845410884179685e-08,0.9999999971545892
1.2871168551616041e-08,1.2871168738253517e-08,1.2871168724956172e-08,0.9999999971288314
1.2896978135250926e-08,1.2896978262675177e-08,1.2896978265470172e-08,0.9999999971030218
