# Cosmological Table
# w0=-0.8, wa=-0.8
# H0=72.0, Omega_m=0.26, Omega_l=0.74, Omega_k=0
# Columns: t, tau0, tau1, a
1.0877756349258026e-08,1.0877756377313607e-08,1.0877756466615207e-08,0.9999999991222436
1.089956857398803e-08,1.089956867148692e-08,1.0899568694488151e-08,0.9999999991004314
1.092142467364243e-08,1.0921424704107836e-08,1.0921424792934937e-08,0.9999999990785753
1.094332445992621e-08,1.0943324562881517e-08,1.0943324648341752e-08,0.9999999990566755
1.0965268249213283e-08,1.0965268335689065e-08,1.096526843039938e-08,0.9999999990347317
1.0987256141214175e-08,1.0987256110587773e-08,1.0987256263238087e-08,0.9999999990127438
1.1009287937860403e-08,1.1009287975811515e-08,1.1009288056147344e-08,0.999999998990712
1.10313639222318e-08,1.1031364019771112e-08,1.103136404584735e-08,0.999999998968636
1.105348428442713e-08,1.1053484331054602e-08,1.1053484357742536e-08,0.9999999989465157
1.1075648983411765e-08,1.107564899842773e-08,1.1075649076926199e-08,0.999999998924351
1.1097858078695764e-08,1.1097858110834209e-08,1.1097858202436337e-08,0.9999999989021419
1.1120111704849401e-08,1.1120111757396111e-08,1.1120111893066368e-08,0.9999999988798882
1.114241001444418e-08,1.1142410027414233e-08,1.1142410131568693e-08,0.99999999885759
1.1164753012627676e-08,1.1164753010368375e-08,1.1164753135180283e-08,0.9999999988352469
1.1187140797267574e-08,1.1187140795917832e-08,1.118714091902899e-08,0.9999999988128592
1.1209573429502909e-08,1.1209573473901663e-08,1.1209573544870223e-08,0.9999999987904266
1.1232051081666882e-08,1.123205113433907e-08,1.1232051233147867e-08,0.9999999987679489
1.1254573795761368e-08,1.125457386742977e-08,1.1254573999716933e-08,0.9999999987454261
1.1277141660695801e-08,1.127714176355437e-08,1.1277141839091243e-08,0.9999999987228583
1.1299754879202623e-08,1.1299754913274639e-08,1.1299755046915555e-08,0.999999998700245
1.132241338797183e-08,1.1322413407334013e-08,1.1322413499151442e-08,0.9999999986775866
1.1345117272656879e-08,1.1345117336657868e-08,1.1345117461234713e-08,0.9999999986548826
1.1367866733879973e-08,1.13678667923539e-08,1.136786687763114e-08,0.9999999986321332
1.139066186751853e-08,1.1390661865712525e-08,1.1390661989437372e-08,0.9999999986093381
1.1413502569113785e-08,1.1413502648207142e-08,1.141350271985264e-08,0.9999999985864974
1.1436389161690502e-08,1.1436389231494648e-08,1.1436389262054733e-08,0.9999999985636108
1.1459321569693423e-08,1.1459321707415706e-08,1.1459321717913665e-08,0.9999999985406783
1.148230010136019e-08,1.148230016799514e-08,1.1482300259275069e-08,0.9999999985176998
1.1505324709136374e-08,1.1505324705442328e-08,1.150532482045557e-08,0.9999999984946752
1.1528395345643741e-08,1.1528395412151478e-08,1.1528395513923697e-08,0.9999999984716046
1.1551512284273233e-08,1.155151238070214e-08,1.1551512438347416e-08,0.9999999984484876
1.1574675619669528e-08,1.157467570385948e-08,1.1574675810666084e-08,0.9999999984253243
1.1597885422763817e-08,1.1597885474574682e-08,1.1597885578106014e-08,0.9999999984021145
1.1621141750240058e-08,1.1621141785985341e-08,1.1621141801526548e-08,0.9999999983788582
1.1644444598174046e-08,1.1644444731415738e-08,1.1644444721222698e-08,0.9999999983555553
1.1667794353027931e-08,1.1667794404377365e-08,1.166779458078947e-08,0.9999999983322055
1.1691190746685596e-08,1.1691190898569199e-08,1.1691190912065885e-08,0.9999999983088091
1.1714634228404671e-08,1.1714634307878108e-08,1.1714634362994798e-08,0.9999999982853657
1.1738124659429182e-08,1.1738124726379242e-08,1.1738124780351434e-08,0.9999999982618752
1.1761662174650049e-08,1.1761662248336325e-08,1.1761662278339542e-08,0.9999999982383377
1.178524688136657e-08,1.1785246968202172e-08,1.1785246987779752e-08,0.999999998214753
1.1808878881935695e-08,1.180887898061897e-08,1.1808879017313973e-08,0.9999999981911211
1.1832558395222563e-08,1.1832558380418685e-08,1.1832558541392128e-08,0.9999999981674416
1.1856285154382184e-08,1.1856285262623469e-08,1.1856285280037747e-08,0.9999999981437148
1.1880059676825746e-08,1.1880059722445938e-08,1.188005988343436e-08,0.9999999981199402
1.1903881806599636e-08,1.1903881855289707e-08,1.1903881914882939e-08,0.9999999980961182
1.1927751663595088e-08,1.1927751756749669e-08,1.1927751830989671e-08,0.9999999980722483
1.1951669464371067e-08,1.1951669522612404e-08,1.1951669601399016e-08,0.9999999980483305
1.197563515925329e-08,1.1975635248856596e-08,1.1975635287450984e-08,0.9999999980243648
1.1999648945170011e-08,1.1999649031653307e-08,1.1999649039349272e-08,0.999999998000351
1.202371092561601e-08,1.2023710967366523e-08,1.2023711047225579e-08,0.999999997976289
1.2047821065269666e-08,1.204782115255343e-08,1.2047821170757484e-08,0.9999999979521789
1.207197964767779e-08,1.2071979683964836e-08,1.2071979750806592e-08,0.9999999979280203
1.2096186618214527e-08,1.2096186658545557e-08,1.2096186737547337e-08,0.9999999979038133
1.2120442051816445e-08,1.2120442173434826e-08,1.2120442253236083e-08,0.9999999978795578
1.2144746266276122e-08,1.2144746325966588e-08,1.2144746500230291e-08,0.9999999978552536
1.2169099133726815e-08,1.2169099213670041e-08,1.2169099350166011e-08,0.9999999978309008
1.219350084057455e-08,1.2193500934269925e-08,1.2193501047892075e-08,0.9999999978064991
1.221795155362187e-08,1.2217951585686935e-08,1.2217951728094993e-08,0.9999999977820484
1.2242451150414418e-08,1.224245126603815e-08,1.224245133116878e-08,0.9999999977575488
1.22669999497096e-08,1.2267000073637317e-08,1.226700011242815e-08,0.999999997733
1.2291598065626537e-08,1.2291598106995396e-08,1.2291598206475801e-08,0.9999999977084019
1.2316245319706453e-08,1.2316245464820865e-08,1.2316245473974793e-08,0.9999999976837546
1.234094214231245e-08,1.2340942246020128e-08,1.2340942279480252e-08,0.9999999976590578
1.236568848264895e-08,1.2365688549697947e-08,1.2365688645221115e-08,0.9999999976343115
1.239048443934794e-08,1.2390484475157732e-08,1.2390484588569449e-08,0.9999999976095155
1.2415330129004024e-08,1.2415330121902098e-08,1.2415330245469215e-08,0.9999999975846698
1.2440225511422625e-08,1.2440225589633157e-08,1.2440225648171933e-08,0.9999999975597744
1.2465170879127658e-08,1.2465170978252945e-08,1.2465171046040047e-08,0.999999997534829
1.2490166328226344e-08,1.2490166387863847e-08,1.2490166513170831e-08,0.9999999975098336
1.251521190172151e-08,1.2515211918768906e-08,1.2515212007108969e-08,0.9999999974847881
1.2540307528165596e-08,1.2540307671472366e-08,1.254030766277053e-08,0.9999999974596924
1.2565453662147288e-08,1.2565453746679978e-08,1.2565453776818384e-08,0.9999999974345463
1.259065017126586e-08,1.2590650245299432e-08,1.2590650362315474e-08,0.9999999974093498
1.2615897181662035e-08,1.2615897268440786e-08,1.2615897309417829e-08,0.9999999973841027
1.264119484103617e-08,1.2641194917416767e-08,1.2641195031536383e-08,0.9999999973588051
1.2666543222014198e-08,1.2666543293743337e-08,1.2666543444715374e-08,0.9999999973334567
