# Cosmological Table
# w0=-1.2, wa=0.8
# H0=72.0, Omega_m=0.26, Omega_l=0.74, Omega_k=0
# Columns: t, tau0, tau1, a
1e-08,1e-08,1e-08,1.0
1.0020052117372993e-08,1.002005219956829e-08,1.002005229576444e-08,0.9999999999799478
1.0040144473771554e-08,1.0040144608207333e-08,1.0040144678926264e-08,0.9999999999598554
1.006027714851071e-08,1.0060277306545179e-08,1.0060277335171124e-08,0.9999999999397228
1.008045025950682e-08,1.0080450375371498e-08,1.0080450450346855e-08,0.9999999999195497
1.0100663745998969e-08,1.0100663895638016e-08,1.0100663983127995e-08,0.9999999998993362
1.0120917773720155e-08,1.0120917948458772e-08,1.012091798956361e-08,0.9999999998790822
1.0141212495203962e-08,1.014121261511045e-08,1.0141212757077508e-08,0.9999999998587874
1.0161547768519637e-08,1.0161547977032736e-08,1.0161548073188441e-08,0.9999999998384521
1.0181923925322538e-08,1.0181924115828556e-08,1.0181924191224006e-08,0.999999999818076
1.0202340907780245e-08,1.0202341113264535e-08,1.0202341203850253e-08,0.999999999797659
1.0222798869093614e-08,1.0222799051271229e-08,1.0222799171728732e-08,0.999999999777201
1.0243297890022392e-08,1.024329801194349e-08,1.024329808422116e-08,0.9999999997567021
1.0263837926299832e-08,1.0263838077540807e-08,1.0263838206110641e-08,0.9999999997361619
1.0284419157243614e-08,1.0284419330487554e-08,1.02844194433113e-08,0.9999999997155807
1.0305041726109142e-08,1.0305041853373446e-08,1.030504190732819e-08,0.9999999996949582
1.0325705617267307e-08,1.0325705728953788e-08,1.032570579759235e-08,0.9999999996742943
1.0346410912288733e-08,1.0346411040149829e-08,1.0346411125274774e-08,0.999999999653589
1.036715764054099e-08,1.0367157870049114e-08,1.036715789879662e-08,0.9999999996328423
1.0387946140181949e-08,1.0387946301905733e-08,1.0387946402080953e-08,0.9999999996120538
1.0408776241199041e-08,1.0408776419140783e-08,1.0408776510154404e-08,0.9999999995912237
1.0429648099140338e-08,1.0429648305342614e-08,1.0429648343762647e-08,0.9999999995703518
1.045056186830602e-08,1.0450562044267196e-08,1.0450562039071499e-08,0.9999999995494381
1.0471517506228818e-08,1.047151771983844e-08,1.0471517782308163e-08,0.9999999995284824
1.0492515250686633e-08,1.0492515416148568e-08,1.049251552271354e-08,0.9999999995074846
1.0513555089483316e-08,1.0513555217458366e-08,1.0513555366664717e-08,0.9999999994864448
1.0534636976046808e-08,1.0534637208197636e-08,1.0534637256062598e-08,0.9999999994653629
1.0555761303183552e-08,1.0555761472965468e-08,1.0555761575102147e-08,0.9999999994442386
1.0576927937156082e-08,1.0576928096530584e-08,1.057692821204466e-08,0.9999999994230719
1.0598136990116706e-08,1.0598137163831714e-08,1.0598137246367516e-08,0.9999999994018629
1.0619388531181484e-08,1.0619388759977841e-08,1.0619388800210571e-08,0.9999999993806113
1.0640682826434003e-08,1.0640682970248673e-08,1.0640683107947138e-08,0.999999999359317
1.0662019666719658e-08,1.0662019880094907e-08,1.0662019964085702e-08,0.9999999993379802
1.0683399486028448e-08,1.0683399575138581e-08,1.0683399744659632e-08,0.9999999993166004
1.0704821956791716e-08,1.0704822141173448e-08,1.0704822235728804e-08,0.9999999992951779
